iter	Passed	Remaining
0	1	188
1	3	175
2	5	190
3	6	160
4	7	150
5	9	141
6	10	140
7	11	132
8	12	127
9	13	119
10	14	116
11	15	112
12	16	109
13	16	104
14	18	103
15	19	100
16	19	96
17	20	94
18	21	92
19	22	89
20	23	88
21	24	86
22	25	84
23	26	82
24	26	80
25	28	80
26	29	79
27	30	78
28	31	77
29	32	75
30	33	74
31	34	72
32	34	70
33	35	69
34	37	68
35	37	67
36	38	66
37	39	64
38	40	63
39	41	62
40	42	61
41	42	59
42	43	57
43	44	56
44	45	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	44
56	58	43
57	59	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	38
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	71	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	78	22
78	79	21
79	80	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	100	1
99	101	0
